date,customer_id,product,price,quantity,coupon_code,shipping_city
10/08/2024,CUST2604,Laptop,655.62,9,SAVE10,New York
05/01/2024,CUST3724,Headphones,490.78,4,INVALID,New York
03/25/2024,CUST7209,Laptop,985.46,5,INVALID,Chicago
08/04/2024,CUST8973,Phone,198.0,4,SAVE10,Phoenix
10/04/2024,CUST1998,Tablet,66.59,10,INVALID,Phoenix
09/28/2024,CUST3579,Laptop,961.17,2,SAVE20,New York
10/31/2024,CUST2113,Phone,409.74,10,SAVE20,Phoenix
10/31/2024,CUST1651,Charger,91.16,10,,Phoenix
06/10/2024,CUST5272,Phone,673.03,6,SAVE20,Chicago
07/21/2024,CUST3144,Tablet,462.65,2,SAVE10,Houston
11/14/2024,CUST2638,Laptop,542.26,9,FREESHIP,Los Angeles
06/27/2024,CUST2127,Phone,375.83,3,INVALID,LA
10/05/2024,CUST5956,Charger,984.01,9,SAVE10,new york
10/10/2024,CUST5905,Laptop,939.54,3,FREESHIP,New York
02/24/2024,CUST3546,Tablet,288.94,4,FREESHIP,Los Angeles
12/17/2024,CUST5325,Charger,493.65,1,SAVE10,new york
08/04/2024,CUST5533,Laptop,13.51,3,FREESHIP,Los Angeles
08/14/2024,CUST8007,Charger,19.57,2,SAVE20,Phoenix
01/19/2024,CUST7049,Charger,557.0,7,SAVE20,New York
06/06/2024,CUST6974,Laptop,899.94,4,SAVE20,new york
02/22/2024,CUST6794,Charger,885.29,7,,new york
03/20/2024,CUST4878,Phone,976.44,3,INVALID,New York
04/01/2024,CUST6442,Headphones,804.21,4,FREESHIP,Los Angeles
12/25/2024,CUST2771,Headphones,873.45,8,SAVE20,Los Angeles
08/23/2024,CUST6728,Tablet,822.33,4,SAVE20,New York
12/03/2024,CUST4164,Headphones,334.98,2,FREESHIP,Chicago
11/24/2024,CUST9346,Headphones,682.72,9,FREESHIP,New York
02/29/2024,CUST5279,Phone,584.78,5,SAVE10,New York
11/01/2024,CUST8119,Tablet,731.26,6,INVALID,Phoenix
09/18/2024,CUST2894,Headphones,900.51,4,FREESHIP,New York
12/28/2024,CUST8144,Laptop,524.72,9,SAVE20,Chicago
08/08/2024,CUST2146,Tablet,626.92,2,FREESHIP,Phoenix
06/07/2024,CUST7691,Tablet,408.38,5,,Los Angeles
04/08/2024,CUST7888,Headphones,680.54,3,,Phoenix
06/03/2024,CUST7653,Charger,835.39,5,FREESHIP,Los Angeles
08/08/2024,CUST6279,Headphones,447.37,4,,Houston
03/27/2024,CUST2389,Tablet,520.3,10,FREESHIP,New York
04/30/2024,CUST6085,Phone,808.5,3,SAVE10,New York
05/05/2024,CUST8784,Charger,851.24,2,INVALID,Houston
11/18/2024,CUST4185,Headphones,499.43,4,SAVE20,new york
12/18/2024,CUST1090,Laptop,780.64,4,SAVE20,LA
12/22/2024,CUST9486,Headphones,59.72,4,SAVE10,Houston
03/09/2024,CUST8612,Charger,988.01,10,FREESHIP,LA
08/14/2024,CUST9270,Headphones,832.26,9,INVALID,Los Angeles
08/31/2024,CUST8373,Tablet,754.26,5,,Houston
11/16/2024,CUST4919,Tablet,445.47,5,SAVE20,Chicago
06/20/2024,CUST6238,Charger,89.77,3,SAVE20,Houston
12/21/2024,CUST3503,Phone,73.59,7,FREESHIP,Phoenix
08/26/2024,CUST7812,Laptop,214.77,7,INVALID,LA
10/26/2024,CUST1320,Charger,386.58,1,FREESHIP,Chicago
07/18/2024,CUST7865,Charger,750.04,9,,Los Angeles
09/06/2024,CUST4595,Tablet,441.48,1,INVALID,Chicago
12/08/2024,CUST7624,Phone,842.1,3,,Phoenix
01/14/2024,CUST7455,Charger,568.75,1,SAVE10,new york
08/07/2024,CUST3223,Headphones,189.91,5,INVALID,Chicago
04/18/2024,CUST8449,Tablet,344.13,7,FREESHIP,LA
08/03/2024,CUST5133,Laptop,475.6,9,SAVE10,Chicago
04/24/2024,CUST2124,Laptop,756.69,4,SAVE20,LA
01/11/2024,CUST3496,Phone,134.96,2,,Los Angeles
08/26/2024,CUST5198,Tablet,176.11,10,SAVE10,LA
03/24/2024,CUST6096,Laptop,582.9,5,,new york
07/11/2024,CUST7498,Phone,85.24,4,SAVE10,new york
06/03/2024,CUST2983,Charger,784.81,6,,Houston
12/04/2024,CUST7071,Laptop,510.9,6,SAVE10,LA
08/03/2024,CUST9031,Laptop,439.19,6,INVALID,new york
03/19/2024,CUST8135,Phone,736.46,5,,LA
10/02/2024,CUST8921,Headphones,441.22,10,FREESHIP,Chicago
05/05/2024,CUST2419,Tablet,882.81,4,INVALID,Phoenix
11/08/2024,CUST7209,Tablet,38.41,6,SAVE20,Houston
04/18/2024,CUST6813,Tablet,346.94,10,FREESHIP,Phoenix
01/06/2024,CUST9464,Phone,94.76,7,INVALID,Phoenix
05/03/2024,CUST8800,Headphones,453.69,1,SAVE10,Chicago
04/23/2024,CUST7625,Phone,313.14,10,FREESHIP,Houston
10/10/2024,CUST9698,Tablet,431.25,9,FREESHIP,Chicago
12/25/2024,CUST8434,Tablet,313.56,4,SAVE10,new york
04/08/2024,CUST6169,Laptop,745.45,3,SAVE20,Los Angeles
09/04/2024,CUST5530,Charger,976.84,9,,Chicago
02/21/2024,CUST4180,Tablet,235.21,3,FREESHIP,New York
12/28/2024,CUST9751,Phone,281.57,1,,Chicago
12/23/2024,CUST3068,Headphones,111.56,1,,Chicago
08/28/2024,CUST8843,Headphones,347.3,1,FREESHIP,LA
09/01/2024,CUST2869,Laptop,406.7,2,,new york
12/17/2024,CUST1878,Phone,157.71,10,FREESHIP,New York
05/07/2024,CUST2940,Charger,766.8,10,,LA
11/12/2024,CUST4697,Charger,386.57,8,FREESHIP,LA
10/28/2024,CUST8025,Tablet,572.94,1,,new york
02/20/2024,CUST4404,Phone,272.0,2,SAVE20,Los Angeles
03/29/2024,CUST2229,Phone,12.65,8,,Houston
05/29/2024,CUST1534,Phone,295.22,5,INVALID,New York
12/17/2024,CUST4824,Tablet,789.95,10,SAVE20,Houston
02/28/2024,CUST9922,Phone,651.16,5,SAVE20,New York
01/31/2024,CUST3718,Tablet,599.09,10,FREESHIP,Houston
03/04/2024,CUST8679,Tablet,702.74,5,,Phoenix
09/09/2024,CUST8172,Laptop,602.06,7,FREESHIP,Phoenix
05/08/2024,CUST1423,Laptop,236.64,10,,New York
12/10/2024,CUST5415,Charger,49.83,3,INVALID,Phoenix
11/29/2024,CUST8245,Tablet,189.67,10,INVALID,new york
09/08/2024,CUST2494,Headphones,354.48,6,FREESHIP,new york
02/23/2024,CUST3634,Tablet,417.53,8,FREESHIP,new york
07/24/2024,CUST1601,Headphones,97.18,5,FREESHIP,New York
07/25/2024,CUST9431,Laptop,661.08,9,INVALID,Houston
01/28/2024,CUST4073,Charger,368.16,8,INVALID,LA
01/27/2024,CUST4335,Tablet,553.73,5,INVALID,new york
09/05/2024,CUST2989,Laptop,973.42,10,SAVE20,new york
03/22/2024,CUST6091,Charger,23.54,7,SAVE10,Los Angeles
02/28/2024,CUST8560,Laptop,651.23,3,INVALID,new york
05/29/2024,CUST9337,Tablet,421.34,8,INVALID,Los Angeles
08/21/2024,CUST3369,Headphones,198.7,10,,new york
03/10/2024,CUST2143,Tablet,774.95,7,FREESHIP,LA
09/16/2024,CUST5377,Laptop,290.01,5,,Phoenix
12/03/2024,CUST9022,Phone,452.08,8,FREESHIP,Chicago
10/09/2024,CUST9903,Headphones,460.79,6,SAVE20,new york
05/02/2024,CUST7274,Phone,857.45,7,SAVE10,Chicago
08/30/2024,CUST7246,Headphones,988.53,3,INVALID,New York
03/05/2024,CUST9229,Charger,338.67,2,INVALID,New York
09/26/2024,CUST8486,Laptop,725.22,7,SAVE20,New York
08/28/2024,CUST5342,Tablet,627.03,7,SAVE10,LA
06/17/2024,CUST9742,Headphones,954.6,8,,New York
11/12/2024,CUST2121,Phone,634.85,5,SAVE20,new york
02/16/2024,CUST8110,Laptop,762.77,2,INVALID,Los Angeles
12/21/2024,CUST5906,Laptop,55.53,1,FREESHIP,Chicago
07/10/2024,CUST8056,Phone,251.76,7,,new york
04/02/2024,CUST3785,Phone,88.18,7,,new york
05/03/2024,CUST9153,Charger,151.69,8,FREESHIP,Houston
05/10/2024,CUST1153,Headphones,902.2,9,SAVE20,New York
08/14/2024,CUST6661,Charger,306.16,7,FREESHIP,Houston
06/03/2024,CUST4263,Headphones,854.8,2,SAVE20,Houston
10/19/2024,CUST6881,Charger,302.91,5,SAVE10,LA
12/03/2024,CUST7484,Tablet,18.02,1,,new york
09/11/2024,CUST5689,Phone,610.99,6,SAVE20,new york
04/07/2024,CUST5106,Phone,631.97,1,FREESHIP,LA
08/13/2024,CUST1546,Charger,371.21,3,SAVE10,Chicago
06/16/2024,CUST7807,Phone,208.79,9,FREESHIP,Phoenix
09/13/2024,CUST5465,Phone,264.4,8,FREESHIP,new york
06/22/2024,CUST2886,Headphones,963.26,3,SAVE20,LA
12/12/2024,CUST7511,Charger,372.12,7,SAVE10,Chicago
10/01/2024,CUST3024,Headphones,374.9,5,,Houston
11/22/2024,CUST7086,Laptop,678.09,8,SAVE10,Phoenix
10/14/2024,CUST6374,Charger,229.15,2,INVALID,new york
06/03/2024,CUST7689,Laptop,148.38,1,FREESHIP,Houston
02/29/2024,CUST2592,Phone,888.39,3,INVALID,Houston
07/08/2024,CUST9850,Headphones,591.47,3,INVALID,new york
02/20/2024,CUST9017,Charger,414.03,5,SAVE10,new york
07/08/2024,CUST4559,Headphones,450.25,4,FREESHIP,New York
12/17/2024,CUST7018,Charger,902.68,6,SAVE10,Houston
05/21/2024,CUST4109,Laptop,949.52,8,SAVE10,new york
04/18/2024,CUST1349,Laptop,788.93,4,SAVE20,LA
10/16/2024,CUST4362,Laptop,831.52,9,SAVE20,Phoenix
04/20/2024,CUST4817,Tablet,776.62,10,SAVE10,Chicago
03/15/2024,CUST3129,Charger,258.15,3,SAVE10,new york
01/14/2024,CUST3159,Laptop,364.66,4,,Chicago
01/09/2024,CUST3854,Tablet,61.88,7,,New York
02/02/2024,CUST8802,Headphones,780.24,9,,New York
08/19/2024,CUST9254,Phone,945.96,1,,Chicago
08/22/2024,CUST1510,Laptop,998.6,7,INVALID,new york
02/25/2024,CUST9032,Headphones,82.76,2,FREESHIP,Phoenix
03/16/2024,CUST2076,Phone,282.27,10,,new york
06/15/2024,CUST7240,Charger,535.25,8,,Phoenix
08/08/2024,CUST2624,Laptop,854.26,9,SAVE20,Houston
08/19/2024,CUST4743,Headphones,345.54,8,INVALID,Houston
02/18/2024,CUST6120,Headphones,319.4,5,FREESHIP,Los Angeles
12/17/2024,CUST8770,Laptop,100.31,2,SAVE10,Houston
02/19/2024,CUST7105,Phone,560.81,10,,Phoenix
06/17/2024,CUST3002,Headphones,360.06,7,SAVE10,Chicago
11/03/2024,CUST6119,Tablet,112.56,9,SAVE20,Los Angeles
12/02/2024,CUST8900,Phone,848.8,6,,Chicago
02/28/2024,CUST5564,Charger,233.9,7,,LA
11/14/2024,CUST1430,Charger,929.79,5,SAVE10,Los Angeles
05/19/2024,CUST6062,Tablet,357.51,3,SAVE20,Phoenix
12/02/2024,CUST7566,Laptop,150.46,1,SAVE10,new york
09/28/2024,CUST4524,Headphones,425.63,6,SAVE20,Chicago
06/08/2024,CUST6314,Charger,600.26,1,SAVE20,Los Angeles
11/12/2024,CUST1815,Laptop,279.38,7,INVALID,Phoenix
08/14/2024,CUST7785,Tablet,223.41,9,SAVE10,Chicago
08/08/2024,CUST2816,Tablet,681.44,10,INVALID,Phoenix
12/07/2024,CUST6053,Laptop,228.31,10,SAVE10,New York
04/14/2024,CUST5938,Phone,769.68,5,FREESHIP,Chicago
03/02/2024,CUST1126,Headphones,749.54,3,SAVE20,Houston
09/29/2024,CUST4770,Charger,563.14,6,SAVE10,Houston
01/22/2024,CUST8147,Laptop,465.16,2,FREESHIP,Phoenix
08/07/2024,CUST7626,Headphones,296.62,7,SAVE10,Chicago
03/28/2024,CUST8538,Tablet,97.25,2,SAVE20,Houston
10/28/2024,CUST7560,Charger,87.86,5,FREESHIP,Los Angeles
06/19/2024,CUST3754,Laptop,515.38,2,,Phoenix
04/09/2024,CUST6724,Tablet,730.11,3,SAVE20,New York
03/15/2024,CUST5193,Phone,181.76,3,SAVE10,Los Angeles
11/17/2024,CUST9095,Headphones,756.9,10,INVALID,new york
10/16/2024,CUST6295,Tablet,159.45,2,INVALID,Houston
11/19/2024,CUST5961,Tablet,595.51,6,,New York
06/07/2024,CUST8565,Headphones,47.23,6,FREESHIP,New York
11/26/2024,CUST2479,Charger,598.14,7,INVALID,Phoenix
10/10/2024,CUST1672,Headphones,909.96,10,SAVE20,Chicago
11/05/2024,CUST8792,Charger,159.35,1,INVALID,New York
06/24/2024,CUST2381,Charger,649.67,1,SAVE20,new york
08/12/2024,CUST8199,Charger,527.52,3,FREESHIP,Chicago
05/24/2024,CUST7347,Headphones,776.72,10,SAVE10,LA
11/19/2024,CUST6482,Laptop,336.39,9,INVALID,Chicago
05/09/2024,CUST3463,Tablet,90.69,3,FREESHIP,Chicago
12/01/2024,CUST7421,Phone,599.09,2,FREESHIP,Phoenix
07/11/2024,CUST6381,Phone,673.42,9,SAVE10,new york
12/09/2024,CUST7937,Charger,368.21,6,FREESHIP,Los Angeles
04/19/2024,CUST6598,Headphones,200.09,3,SAVE20,New York
05/31/2024,CUST2657,Charger,773.17,9,SAVE10,new york
06/21/2024,CUST3147,Charger,382.95,3,SAVE20,LA
12/20/2024,CUST3712,Headphones,53.26,6,SAVE20,Houston
11/08/2024,CUST5668,Headphones,241.66,4,FREESHIP,LA
08/28/2024,CUST4178,Tablet,681.52,10,INVALID,Houston
05/24/2024,CUST7256,Charger,532.19,3,SAVE20,LA
11/05/2024,CUST3267,Tablet,61.66,8,FREESHIP,Phoenix
02/22/2024,CUST9452,Laptop,292.21,3,FREESHIP,Houston
09/19/2024,CUST3414,Headphones,100.8,4,INVALID,Chicago
01/14/2024,CUST7797,Laptop,402.49,6,SAVE20,Houston
02/11/2024,CUST7142,Phone,37.91,2,FREESHIP,LA
03/15/2024,CUST3254,Laptop,294.01,8,SAVE20,LA
12/27/2024,CUST8685,Headphones,619.19,2,SAVE10,Chicago
04/20/2024,CUST3449,Charger,940.82,10,,Houston
02/26/2024,CUST5720,Phone,308.14,1,SAVE20,Houston
11/23/2024,CUST8489,Laptop,119.75,8,,Phoenix
01/09/2024,CUST9443,Charger,249.52,3,FREESHIP,Houston
01/01/2024,CUST6780,Phone,574.96,3,SAVE10,Phoenix
07/03/2024,CUST2108,Charger,548.64,9,,New York
07/18/2024,CUST8702,Laptop,639.31,6,FREESHIP,new york
01/09/2024,CUST6850,Laptop,351.35,2,,new york
06/19/2024,CUST3185,Laptop,358.78,6,SAVE20,LA
12/16/2024,CUST8612,Headphones,635.42,3,SAVE10,new york
08/22/2024,CUST1605,Tablet,209.58,4,SAVE10,Chicago
06/07/2024,CUST9444,Headphones,989.23,9,INVALID,Chicago
01/19/2024,CUST4131,Tablet,363.4,1,FREESHIP,Chicago
03/04/2024,CUST7029,Headphones,890.59,8,INVALID,Chicago
04/05/2024,CUST9129,Headphones,373.67,9,FREESHIP,LA
02/12/2024,CUST7955,Laptop,436.3,3,,Chicago
06/13/2024,CUST2680,Laptop,334.64,5,FREESHIP,Houston
11/04/2024,CUST7981,Phone,692.87,6,INVALID,New York
06/29/2024,CUST8126,Tablet,643.07,1,SAVE10,new york
11/22/2024,CUST7655,Tablet,517.96,3,SAVE10,Los Angeles
11/07/2024,CUST8179,Laptop,134.97,4,FREESHIP,Chicago
07/15/2024,CUST1530,Charger,161.9,8,FREESHIP,Chicago
08/15/2024,CUST2259,Charger,146.32,6,INVALID,Chicago
11/28/2024,CUST5566,Phone,960.91,1,SAVE20,Houston
09/22/2024,CUST7340,Charger,126.58,5,INVALID,Los Angeles
11/09/2024,CUST5678,Headphones,208.18,3,SAVE10,Houston
03/29/2024,CUST8292,Laptop,812.41,6,FREESHIP,new york
02/03/2024,CUST9882,Tablet,892.42,3,SAVE20,LA
07/04/2024,CUST9335,Phone,130.15,4,SAVE20,Los Angeles
09/09/2024,CUST1430,Tablet,558.48,6,INVALID,LA
10/09/2024,CUST3126,Charger,885.4,2,FREESHIP,Houston
09/02/2024,CUST9612,Headphones,771.47,10,SAVE10,Los Angeles
06/11/2024,CUST2215,Headphones,471.17,9,FREESHIP,Los Angeles
10/09/2024,CUST3981,Phone,438.29,1,SAVE10,Phoenix
03/19/2024,CUST5982,Phone,170.35,4,FREESHIP,Phoenix
05/25/2024,CUST2292,Tablet,204.34,9,FREESHIP,Los Angeles
11/16/2024,CUST5961,Charger,538.14,9,SAVE20,Phoenix
10/24/2024,CUST3526,Phone,662.15,10,FREESHIP,LA
10/15/2024,CUST1674,Laptop,90.41,10,FREESHIP,new york
04/17/2024,CUST7825,Charger,642.6,8,,Chicago
11/24/2024,CUST5949,Headphones,252.43,7,FREESHIP,Houston
02/07/2024,CUST1981,Phone,445.21,8,INVALID,Los Angeles
06/23/2024,CUST3353,Tablet,862.87,6,FREESHIP,Houston
03/07/2024,CUST7070,Charger,566.03,6,SAVE20,Houston
03/03/2024,CUST5382,Headphones,255.44,2,SAVE10,Chicago
07/15/2024,CUST7850,Phone,963.06,3,FREESHIP,Phoenix
06/09/2024,CUST4110,Phone,503.28,9,INVALID,Houston
06/06/2024,CUST9148,Laptop,99.15,7,,Houston
05/03/2024,CUST4524,Charger,359.37,1,FREESHIP,Houston
11/01/2024,CUST8710,Tablet,541.32,2,INVALID,Los Angeles
05/15/2024,CUST6992,Headphones,372.28,7,SAVE10,Phoenix
10/14/2024,CUST4189,Tablet,557.69,2,INVALID,Phoenix
08/18/2024,CUST5582,Charger,683.59,2,SAVE20,New York
07/20/2024,CUST7114,Tablet,562.25,6,SAVE20,Los Angeles
11/04/2024,CUST9341,Headphones,505.08,1,SAVE10,Los Angeles
12/31/2024,CUST6456,Headphones,524.14,3,,Phoenix
03/12/2024,CUST6373,Charger,325.34,7,,new york
06/02/2024,CUST6511,Charger,830.01,9,INVALID,new york
10/15/2024,CUST5911,Headphones,817.59,6,FREESHIP,new york
02/26/2024,CUST7824,Charger,314.6,1,,Houston
05/15/2024,CUST4728,Laptop,587.69,3,,new york
11/13/2024,CUST7229,Phone,823.44,4,SAVE10,Phoenix
12/24/2024,CUST2800,Phone,28.75,6,INVALID,Los Angeles
07/30/2024,CUST4340,Headphones,506.8,10,INVALID,LA
02/01/2024,CUST3262,Charger,215.27,6,INVALID,Phoenix
07/11/2024,CUST6140,Phone,465.07,9,FREESHIP,Phoenix
06/30/2024,CUST5331,Charger,489.34,4,FREESHIP,Phoenix
06/01/2024,CUST4684,Tablet,773.46,4,INVALID,Chicago
09/02/2024,CUST6714,Charger,934.36,5,FREESHIP,New York
10/20/2024,CUST9899,Headphones,896.8,7,FREESHIP,LA
03/15/2024,CUST5758,Laptop,294.75,2,FREESHIP,Houston
12/01/2024,CUST5201,Headphones,221.85,9,FREESHIP,Phoenix
12/22/2024,CUST5450,Phone,118.13,10,SAVE20,Los Angeles
01/26/2024,CUST9700,Phone,641.57,1,SAVE10,Houston
06/18/2024,CUST8739,Laptop,684.38,3,SAVE10,Phoenix
03/21/2024,CUST7666,Headphones,482.67,4,FREESHIP,Chicago
05/26/2024,CUST1969,Laptop,655.78,4,,new york
01/20/2024,CUST3868,Headphones,883.42,3,SAVE10,LA
07/22/2024,CUST9116,Phone,937.24,5,SAVE10,New York
06/01/2024,CUST2758,Tablet,291.72,9,,Houston
03/09/2024,CUST9261,Headphones,280.11,2,FREESHIP,Los Angeles
08/22/2024,CUST5215,Phone,23.94,6,FREESHIP,Phoenix
12/11/2024,CUST4164,Phone,614.84,7,INVALID,Phoenix
06/16/2024,CUST2421,Headphones,672.56,3,SAVE20,Houston
06/14/2024,CUST5064,Laptop,268.18,4,INVALID,LA
05/16/2024,CUST6400,Tablet,586.64,10,SAVE10,Chicago
11/30/2024,CUST6890,Phone,71.5,2,INVALID,Chicago
03/22/2024,CUST7642,Charger,923.87,5,SAVE10,new york
05/31/2024,CUST7021,Charger,228.64,3,INVALID,Los Angeles
08/20/2024,CUST7121,Headphones,704.92,8,,LA
12/06/2024,CUST4578,Phone,683.54,10,SAVE10,Phoenix
08/16/2024,CUST9653,Tablet,87.32,10,SAVE10,New York
10/07/2024,CUST9281,Phone,576.97,3,SAVE20,Chicago
09/23/2024,CUST8239,Laptop,683.49,10,INVALID,New York
09/18/2024,CUST8298,Laptop,458.9,9,INVALID,Houston
10/15/2024,CUST1945,Charger,467.75,5,SAVE10,Houston
05/10/2024,CUST1049,Phone,582.53,1,INVALID,Chicago
12/24/2024,CUST2044,Charger,994.18,2,INVALID,New York
05/26/2024,CUST7698,Phone,771.28,7,FREESHIP,Houston
08/17/2024,CUST7184,Headphones,89.45,9,SAVE20,new york
06/27/2024,CUST2943,Phone,992.92,7,,Los Angeles
04/24/2024,CUST1056,Laptop,978.71,8,,Houston
09/29/2024,CUST7214,Phone,255.04,6,SAVE20,Chicago
04/06/2024,CUST2848,Laptop,811.38,7,,LA
01/09/2024,CUST4943,Phone,76.62,10,SAVE10,Houston
11/02/2024,CUST1797,Phone,743.14,7,INVALID,Los Angeles
10/03/2024,CUST4559,Laptop,148.73,5,SAVE20,LA
10/21/2024,CUST6224,Charger,601.94,6,SAVE20,Chicago
03/14/2024,CUST9540,Phone,419.42,5,SAVE10,Phoenix
10/29/2024,CUST3869,Headphones,560.29,1,FREESHIP,new york
12/09/2024,CUST7244,Charger,325.55,7,INVALID,Los Angeles
06/02/2024,CUST7167,Phone,756.87,8,SAVE20,LA
04/25/2024,CUST5927,Phone,807.72,1,,Houston
08/01/2024,CUST9683,Phone,394.53,5,SAVE20,Chicago
11/27/2024,CUST2295,Headphones,848.66,2,,new york
04/07/2024,CUST1844,Tablet,383.4,10,,New York
02/07/2024,CUST4082,Charger,727.06,9,SAVE20,Houston
04/16/2024,CUST6455,Tablet,957.45,1,SAVE20,Los Angeles
03/01/2024,CUST8846,Phone,698.67,4,INVALID,Los Angeles
10/09/2024,CUST6269,Tablet,386.86,9,FREESHIP,Chicago
05/13/2024,CUST6892,Charger,883.98,8,SAVE10,LA
08/28/2024,CUST6246,Phone,377.0,7,SAVE10,Phoenix
04/23/2024,CUST3390,Laptop,268.17,10,,new york
08/01/2024,CUST5836,Phone,204.23,4,INVALID,Phoenix
05/05/2024,CUST9180,Charger,658.06,6,FREESHIP,LA
09/07/2024,CUST9037,Headphones,176.55,6,SAVE20,Los Angeles
10/06/2024,CUST9000,Phone,917.73,9,SAVE10,Phoenix
01/18/2024,CUST2217,Laptop,766.7,7,SAVE20,LA
11/18/2024,CUST4791,Laptop,710.1,1,SAVE20,Phoenix
08/21/2024,CUST7114,Laptop,621.66,10,INVALID,new york
09/06/2024,CUST1257,Laptop,536.89,7,SAVE10,New York
09/28/2024,CUST5501,Charger,977.7,1,,LA
12/23/2024,CUST8054,Phone,115.95,2,,Los Angeles
05/03/2024,CUST4144,Charger,531.19,6,FREESHIP,LA
07/22/2024,CUST2294,Tablet,959.7,8,,Los Angeles
12/22/2024,CUST4700,Tablet,687.2,2,SAVE10,New York
07/26/2024,CUST7213,Headphones,557.17,1,SAVE10,new york
03/28/2024,CUST2354,Headphones,846.88,6,,LA
02/18/2024,CUST9653,Laptop,237.47,10,INVALID,Chicago
01/24/2024,CUST2218,Tablet,900.32,10,SAVE10,Los Angeles
06/10/2024,CUST1256,Phone,591.17,7,SAVE10,Chicago
03/24/2024,CUST4939,Charger,836.3,7,,Chicago
07/15/2024,CUST3292,Laptop,505.78,6,SAVE10,New York
08/11/2024,CUST4803,Laptop,347.19,10,,Houston
06/16/2024,CUST1485,Tablet,785.71,8,INVALID,Los Angeles
07/01/2024,CUST7150,Headphones,193.88,10,INVALID,New York
11/12/2024,CUST5839,Phone,715.98,2,FREESHIP,Los Angeles
07/13/2024,CUST3527,Headphones,323.51,2,SAVE10,New York
06/06/2024,CUST8286,Tablet,763.73,2,SAVE20,New York
04/05/2024,CUST8061,Headphones,561.42,9,INVALID,New York
01/14/2024,CUST2468,Tablet,558.68,10,,LA
06/15/2024,CUST7311,Laptop,298.93,7,SAVE10,new york
10/13/2024,CUST4977,Charger,525.89,7,SAVE20,Los Angeles
05/17/2024,CUST5933,Tablet,498.19,2,SAVE20,Houston
05/21/2024,CUST7899,Tablet,489.39,2,FREESHIP,Chicago
05/06/2024,CUST9123,Charger,620.5,8,SAVE10,Los Angeles
06/04/2024,CUST1110,Headphones,338.9,10,INVALID,LA
06/17/2024,CUST8212,Tablet,436.31,10,SAVE20,Chicago
06/13/2024,CUST4290,Headphones,321.04,7,FREESHIP,Chicago
12/21/2024,CUST9044,Charger,784.15,6,INVALID,Chicago
07/20/2024,CUST6980,Laptop,932.75,4,,Phoenix
04/02/2024,CUST1440,Headphones,943.55,4,INVALID,LA
05/29/2024,CUST2133,Headphones,676.25,3,FREESHIP,Los Angeles
05/09/2024,CUST3525,Headphones,791.19,2,INVALID,Phoenix
09/02/2024,CUST7566,Charger,511.55,7,,New York
07/03/2024,CUST9796,Charger,641.8,2,SAVE10,LA
05/07/2024,CUST6816,Phone,650.53,1,,new york
12/12/2024,CUST7547,Tablet,966.06,7,SAVE10,New York
02/20/2024,CUST5239,Phone,515.57,9,,Phoenix
12/18/2024,CUST4621,Headphones,380.38,8,,new york
